latitude,longitude,latitude
31.47,-109.6,31.47
44.87,-91.48,44.87
34.77,-114.62,34.77
40.83,-115.78,40.83
42.12,-77.98,42.12
41.02,-83.67,41.02
41.33,-72.05,41.33
34.25,-82.16,34.25
41.07,-73.7,41.07
40.83,-72.87,40.83
41.67,-70.28,41.67
35.94,-79.07,35.94
40.8,-73.1,40.8
46.93,-98.68,46.93
42.27,-84.47,42.27
41.32,-105.67,41.32
43.96,-86.41,43.96
43.22,-90.18,43.22
40.2,-76.77,40.2
43.65,-94.98,43.65
41.51,-72.83,41.51
41.14,-75.38,41.14
34.74,-76.65,34.74
33.22,-117.35,33.22
44.58,-124.05,44.58
46.73,-94.38,46.73
44.25,-121.15,44.25
35.02,-94.62,35.02
45.15,-92.54,45.15
35.23,-120.63,35.23
41.78,-122.47,41.78
44.92,-123.0,44.92
35.21,-91.74,35.21
37.95,-107.9,37.95
38.05,-117.08,38.05
39.32,-120.13,39.32
39.91,-83.13,39.91
43.15,-75.38,43.15
39.13,-123.2,39.13
28.95,-81.85,28.95
34.73,-118.22,34.73
44.52,-114.22,44.52
47.48,-111.37,47.48
37.6,-83.32,37.6
25.82,-80.28,25.82
38.18,-85.73,38.18
56.25,-134.65,56.25
60.77,-148.68,60.77
40.3,-96.75,40.3
27.95,-81.78,27.95
42.05,-94.78,42.05
43.96,-90.74,43.96
46.83,-95.88,46.83
47.78,-93.65,47.78
32.57,-97.3,32.57
33.48,-90.98,33.48
41.07,-87.85,41.07
42.48,-76.45,42.48
41.92,-84.58,41.92
33.98,-83.96,33.98
45.43,-84.91,45.43
36.02,-86.52,36.02
39.33,-76.42,39.33
46.42,-92.8,46.42
44.69,-73.53,44.69
42.25,-84.96,42.25
34.01,-84.6,34.01
38.65,-88.97,38.65
41.5,-74.1,41.5
28.52,-80.8,28.52
47.05,-91.75,47.05
40.85,-77.85,40.85
43.57,-116.22,43.57
45.45,-98.43,45.45
37.07,-88.77,37.07
44.38,-98.22,44.38
40.1,-92.55,40.1
36.77,-90.32,36.77
44.35,-84.67,44.35
42.77,-84.6,42.77
43.17,-86.25,43.17
45.78,-111.15,45.78
46.85,-92.18,46.85
48.3,-114.27,48.3
46.15,-123.88,46.15
45.6,-122.6,45.6
32.12,-110.93,32.12
43.58,-96.75,43.58
37.9,-121.25,37.9
35.05,-106.62,35.05
48.55,-109.77,48.55
28.29,-81.44,28.29
42.88,-85.52,42.88
33.95,-81.12,33.95
39.55,-97.65,39.55
46.49,-84.37,46.49
45.55,-100.41,45.55
32.9,-80.03,32.9
44.05,-101.6,44.05
42.4,-90.7,42.4
47.63,-117.53,47.63
41.07,-71.92,41.07
32.47,-93.82,32.47
45.7,-92.95,45.7
44.35,-105.53,44.35
39.27,-103.67,39.27
30.5,-81.7,30.5
30.68,-88.25,30.68
48.57,-93.38,48.57
43.07,-108.47,43.07
